Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Currency_Type
50,Male,PhD,Senior Project Engineer,19,200000,USA,White,USD
30,Male,Bachelor's Degree,Back end Developer,5,100000,China,Korean,CNY
42,Male,Master's Degree,Software Engineer Manager,13,170000,Australia,Australian,AUD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,China,Chinese,CNY
45,Male,PhD,Senior Project Engineer,16,185000,Canada,Black,CAD
29,Female,Bachelor's Degree,Front end Developer,4,90000,UK,Asian,GBP
39,Female,Master's Degree,Software Engineer Manager,12,160000,China,White,CNY
27,Male,Bachelor's Degree,Back end Developer,3,80000,Australia,White,AUD
49,Male,PhD,Senior Project Engineer,17,195000,UK,Asian,GBP
32,Female,Master's Degree,Full Stack Engineer,6,115000,Canada,Asian,CAD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,UK,Mixed,GBP
27,Male,Bachelor's Degree,Front end Developer,2,65000,UK,Mixed,GBP
43,Female,PhD,Senior Project Engineer,14,190000,Australia,Australian,AUD
34,Male,Master's Degree,Back end Developer,8,140000,Canada,White,CAD
46,Male,PhD,Software Engineer Manager,16,185000,USA,White,USD
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,Asian,CAD
30,Female,Master's Degree,Front end Developer,5,105000,Canada,White,CAD
50,Male,PhD,Senior Project Engineer,19,200000,USA,Hispanic,USD
30,Male,Bachelor's Degree,Back end Developer,5,100000,Australia,White,AUD
42,Male,Master's Degree,Software Engineer Manager,13,170000,Canada,Black,CAD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,Australian,AUD
45,Male,PhD,Senior Project Engineer,16,185000,Australia,Asian,AUD
29,Female,Bachelor's Degree,Front end Developer,4,90000,UK,Asian,GBP
39,Female,Master's Degree,Software Engineer Manager,12,160000,UK,Asian,GBP
27,Male,Bachelor's Degree,Back end Developer,3,80000,China,Chinese,CNY
49,Male,PhD,Senior Project Engineer,17,195000,USA,African American,USD
32,Female,Master's Degree,Full Stack Engineer,6,115000,Australia,Asian,AUD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,China,Korean,CNY
27,Male,Bachelor's Degree,Front end Developer,2,65000,Australia,Asian,AUD
43,Female,PhD,Senior Project Engineer,14,190000,UK,White,GBP
34,Male,Master's Degree,Back end Developer,8,140000,USA,Asian,USD
46,Male,PhD,Software Engineer Manager,16,185000,Australia,White,AUD
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,Black,CAD
30,Female,Master's Degree,Front end Developer,5,105000,Australia,Asian,AUD
50,Male,PhD,Senior Project Engineer,19,200000,Canada,Asian,CAD
30,Male,Bachelor's Degree,Back end Developer,5,100000,Canada,White,CAD
42,Male,Master's Degree,Software Engineer Manager,13,170000,UK,White,GBP
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,White,AUD
45,Male,PhD,Senior Project Engineer,16,185000,UK,Mixed,GBP
29,Female,Bachelor's Degree,Front end Developer,4,90000,China,Korean,CNY
31,Female,Bachelor's Degree,Front end Developer,6,110000,China,Chinese,CNY
37,Male,Master's Degree,Software Engineer Manager,10,150000,Canada,Black,CAD
27,Male,Bachelor's Degree,Back end Developer,3,80000,USA,Hispanic,USD
50,Male,PhD,Senior Project Engineer,18,195000,Australia,White,AUD
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,White,USD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,China,Korean,CNY
27,Male,Bachelor's Degree,Front end Developer,2,65000,USA,Hispanic,USD
43,Female,PhD,Senior Project Engineer,14,190000,USA,African American,USD
34,Male,Master's Degree,Back end Developer,8,140000,UK,Welsh,GBP
46,Male,PhD,Software Engineer Manager,16,185000,China,Korean,CNY
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,Black,CAD
30,Female,Master's Degree,Front end Developer,5,105000,Canada,White,CAD
50,Male,PhD,Senior Project Engineer,19,200000,Australia,White,AUD
30,Male,Bachelor's Degree,Back end Developer,5,100000,Canada,Black,CAD
42,Male,Master's Degree,Software Engineer Manager,13,170000,Canada,Black,CAD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,Black,CAD
45,Male,PhD,Senior Project Engineer,16,185000,USA,White,USD
29,Female,Bachelor's Degree,Front end Developer,4,90000,USA,Asian,USD
39,Female,Master's Degree,Software Engineer Manager,12,160000,Australia,Asian,AUD
27,Male,Bachelor's Degree,Back end Developer,3,80000,China,Korean,CNY
49,Male,PhD,Senior Project Engineer,17,195000,Australia,Asian,AUD
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,African American,USD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,China,Chinese,CNY
27,Male,Bachelor's Degree,Front end Developer,2,65000,China,White,CNY
43,Female,PhD,Senior Project Engineer,14,190000,USA,Asian,USD
34,Male,Master's Degree,Back end Developer,8,140000,UK,Asian,GBP
46,Male,PhD,Software Engineer Manager,16,185000,UK,Mixed,GBP
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,China,Chinese,CNY
30,Female,Master's Degree,Front end Developer,5,105000,UK,White,GBP
50,Male,PhD,Senior Project Engineer,19,200000,UK,Asian,GBP
30,Male,Bachelor's Degree,Back end Developer,5,100000,China,White,CNY
42,Male,Master's Degree,Software Engineer Manager,13,170000,USA,White,USD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,UK,Welsh,GBP
45,Male,PhD,Senior Project Engineer,16,185000,Australia,White,AUD
29,Female,Bachelor's Degree,Front end Developer,4,90000,China,White,CNY
39,Female,Master's Degree,Software Engineer Manager,12,160000,USA,African American,USD
27,Male,Bachelor's Degree,Back end Developer,3,80000,USA,Hispanic,USD
49,Male,PhD,Senior Project Engineer,17,195000,Canada,Black,CAD
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,African American,USD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,Australia,Asian,AUD
27,Male,Bachelor's Degree,Front end Developer,2,65000,China,White,CNY
43,Female,PhD,Senior Project Engineer,14,190000,Australia,White,AUD
34,Male,Master's Degree,Back end Developer,8,140000,UK,Welsh,GBP
46,Male,PhD,Software Engineer Manager,16,185000,China,Korean,CNY
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,China,White,CNY
30,Female,Master's Degree,Front end Developer,5,105000,USA,African American,USD
50,Male,PhD,Senior Project Engineer,19,200000,Canada,White,CAD
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,Asian,USD
42,Male,Master's Degree,Software Engineer Manager,13,170000,Australia,Asian,AUD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,Asian,AUD
45,Male,PhD,Senior Project Engineer,16,185000,Canada,Asian,CAD
29,Female,Bachelor's Degree,Front end Developer,4,90000,USA,White,USD
39,Female,Master's Degree,Software Engineer Manager,12,160000,Australia,Asian,AUD
27,Male,Bachelor's Degree,Back end Developer,3,80000,Australia,Australian,AUD
49,Male,PhD,Senior Project Engineer,17,195000,USA,African American,USD
32,Female,Master's Degree,Full Stack Engineer,6,115000,UK,Mixed,GBP
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,Australia,White,AUD
27,Male,Bachelor's Degree,Front end Developer,2,65000,Canada,Asian,CAD
43,Female,PhD,Senior Project Engineer,14,190000,Australia,White,AUD
34,Male,Master's Degree,Back end Developer,8,140000,Canada,Black,CAD
46,Male,PhD,Software Engineer Manager,16,185000,China,Chinese,CNY
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,USA,Hispanic,USD
30,Female,Master's Degree,Front end Developer,5,105000,China,White,CNY
50,Male,PhD,Senior Project Engineer,19,200000,Canada,Asian,CAD
30,Male,Bachelor's Degree,Back end Developer,5,100000,China,Chinese,CNY
42,Male,Master's Degree,Software Engineer Manager,13,170000,Canada,Asian,CAD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,China,Korean,CNY
45,Male,PhD,Senior Project Engineer,16,185000,Canada,White,CAD
29,Female,Bachelor's Degree,Front end Developer,4,90000,Canada,White,CAD
39,Female,Master's Degree,Software Engineer Manager,12,160000,UK,Welsh,GBP
27,Male,Bachelor's Degree,Back end Developer,3,80000,USA,African American,USD
49,Male,PhD,Senior Project Engineer,17,195000,UK,Asian,GBP
32,Female,Master's Degree,Full Stack Engineer,6,115000,China,Korean,CNY
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,USA,African American,USD
27,Male,Bachelor's Degree,Front end Developer,2,65000,USA,African American,USD
43,Female,PhD,Senior Project Engineer,14,190000,China,White,CNY
34,Male,Master's Degree,Back end Developer,8,140000,USA,African American,USD
46,Male,PhD,Software Engineer Manager,16,185000,Australia,Asian,AUD
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,White,CAD
30,Female,Master's Degree,Front end Developer,5,105000,China,Chinese,CNY
50,Male,PhD,Senior Project Engineer,19,200000,Australia,White,AUD
30,Male,Bachelor's Degree,Back end Developer,5,100000,Australia,Asian,AUD
42,Male,Master's Degree,Software Engineer Manager,13,170000,Canada,Asian,CAD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,UK,White,GBP
45,Male,PhD,Senior Project Engineer,16,185000,Australia,Asian,AUD
29,Female,Bachelor's Degree,Front end Developer,4,90000,UK,White,GBP
39,Female,Master's Degree,Software Engineer Manager,12,160000,Australia,White,AUD
27,Male,Bachelor's Degree,Back end Developer,3,80000,China,White,CNY
49,Male,PhD,Senior Project Engineer,17,195000,China,White,CNY
32,Female,Master's Degree,Full Stack Engineer,6,115000,Australia,White,AUD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,Australia,White,AUD
27,Male,Bachelor's Degree,Front end Developer,2,65000,Canada,Black,CAD
43,Female,PhD,Senior Project Engineer,14,190000,China,Chinese,CNY
34,Male,Master's Degree,Back end Developer,8,140000,USA,Asian,USD
46,Male,PhD,Software Engineer Manager,16,185000,China,Chinese,CNY
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,Australia,Asian,AUD
30,Female,Master's Degree,Front end Developer,5,105000,China,White,CNY
50,Male,PhD,Senior Project Engineer,19,200000,Australia,White,AUD
30,Male,Bachelor's Degree,Back end Developer,5,100000,UK,White,GBP
42,Male,Master's Degree,Software Engineer Manager,13,170000,Australia,White,AUD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,Black,CAD
45,Male,PhD,Senior Project Engineer,16,185000,UK,Asian,GBP
29,Female,Bachelor's Degree,Front end Developer,4,90000,China,Chinese,CNY
39,Female,Master's Degree,Software Engineer Manager,12,160000,Australia,Australian,AUD
27,Male,Bachelor's Degree,Back end Developer,3,80000,Australia,White,AUD
49,Male,PhD,Senior Project Engineer,17,195000,China,Korean,CNY
32,Female,Master's Degree,Full Stack Engineer,6,115000,China,White,CNY
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,USA,African American,USD
27,Male,Bachelor's Degree,Front end Developer,2,65000,China,White,CNY
43,Female,PhD,Senior Project Engineer,14,190000,USA,African American,USD
34,Male,Master's Degree,Back end Developer,8,140000,Canada,White,CAD
46,Male,PhD,Software Engineer Manager,16,185000,Australia,White,AUD
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,UK,Asian,GBP
30,Female,Master's Degree,Front end Developer,5,105000,Australia,Australian,AUD
50,Male,PhD,Senior Project Engineer,19,200000,Canada,Black,CAD
30,Male,Bachelor's Degree,Back end Developer,5,100000,Canada,Asian,CAD
42,Male,Master's Degree,Software Engineer Manager,13,170000,Canada,White,CAD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,White,AUD
45,Male,PhD,Senior Project Engineer,16,185000,UK,White,GBP
29,Female,Bachelor's Degree,Front end Developer,4,90000,Australia,White,AUD
31,Male,Master's Degree,Software Engineer Manager,8,130000,Canada,Black,CAD
27,Male,Bachelor's Degree,Back end Developer,3,80000,Australia,Asian,AUD
43,Male,PhD,Senior Project Engineer,15,180000,Canada,White,CAD
35,Female,Master's Degree,Full Stack Engineer,8,140000,Australia,Australian,AUD
42,Male,Bachelor's Degree,Software Engineer Manager,12,160000,UK,Mixed,GBP
28,Female,Bachelor's Degree,Front end Developer,2,55000,UK,Mixed,GBP
44,Female,PhD,Senior Project Engineer,16,190000,USA,African American,USD
32,Male,Master's Degree,Back end Developer,7,120000,China,White,CNY
48,Male,PhD,Software Engineer Manager,18,200000,UK,White,GBP
30,Female,Bachelor's Degree,Full Stack Engineer,5,100000,China,Chinese,CNY
34,Male,Master's Degree,Front end Developer,9,150000,China,White,CNY
37,Female,Bachelor's Degree,Software Engineer Manager,11,170000,USA,Asian,USD
26,Male,Bachelor's Degree,Back end Developer,2,65000,Canada,Asian,CAD
49,Female,PhD,Senior Project Engineer,19,210000,China,Chinese,CNY
29,Male,Bachelor's Degree,Full Stack Engineer,4,90000,UK,Welsh,GBP
41,Male,Master's Degree,Software Engineer Manager,14,180000,USA,Asian,USD
31,Female,Bachelor's Degree,Front end Developer,6,110000,USA,Asian,USD
37,Male,Master's Degree,Software Engineer Manager,10,150000,Australia,Australian,AUD
27,Male,Bachelor's Degree,Back end Developer,3,80000,Australia,Asian,AUD
50,Male,PhD,Senior Project Engineer,18,195000,UK,Asian,GBP
32,Female,Master's Degree,Full Stack Engineer,6,115000,Australia,White,AUD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,USA,Asian,USD
27,Male,Bachelor's Degree,Front end Developer,2,65000,Australia,Australian,AUD
43,Female,PhD,Senior Project Engineer,14,190000,UK,Asian,GBP
34,Male,Master's Degree,Back end Developer,8,140000,Australia,White,AUD
46,Male,PhD,Software Engineer Manager,16,185000,USA,Hispanic,USD
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,USA,Asian,USD
30,Female,Master's Degree,Front end Developer,5,105000,Canada,Asian,CAD
50,Male,PhD,Senior Project Engineer,19,200000,Australia,Australian,AUD
30,Male,Bachelor's Degree,Back end Developer,5,100000,China,Korean,CNY
42,Male,Master's Degree,Software Engineer Manager,13,170000,Australia,Asian,AUD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,China,Chinese,CNY
45,Male,PhD,Senior Project Engineer,16,185000,Canada,White,CAD
29,Female,Bachelor's Degree,Front end Developer,4,90000,China,Korean,CNY
39,Female,Master's Degree,Software Engineer Manager,12,160000,Australia,Asian,AUD
27,Male,Bachelor's Degree,Back end Developer,3,80000,UK,White,GBP
49,Male,PhD,Senior Project Engineer,17,195000,UK,Asian,GBP
32,Female,Master's Degree,Full Stack Engineer,6,115000,Canada,Asian,CAD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,Canada,Asian,CAD
27,Male,Bachelor's Degree,Front end Developer,2,65000,China,Chinese,CNY
43,Female,PhD,Senior Project Engineer,14,190000,UK,Mixed,GBP
34,Male,Master's Degree,Back end Developer,8,140000,Canada,White,CAD
46,Male,PhD,Software Engineer Manager,16,185000,China,Korean,CNY
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,Australia,Australian,AUD
30,Female,Master's Degree,Front end Developer,5,105000,Canada,Asian,CAD
50,Male,PhD,Senior Project Engineer,19,200000,Canada,White,CAD
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,Asian,USD
42,Male,Master's Degree,Software Engineer Manager,13,170000,Canada,Asian,CAD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,Australian,AUD
45,Male,PhD,Senior Project Engineer,16,185000,UK,Asian,GBP
29,Female,Bachelor's Degree,Front end Developer,4,90000,USA,Hispanic,USD
39,Female,Master's Degree,Software Engineer Manager,12,160000,UK,White,GBP
27,Male,Bachelor's Degree,Back end Developer,3,80000,Canada,Asian,CAD
49,Male,PhD,Senior Project Engineer,17,195000,Canada,Asian,CAD
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,Asian,USD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,China,White,CNY
27,Male,Bachelor's Degree,Front end Developer,2,65000,Australia,White,AUD
43,Female,PhD,Senior Project Engineer,14,190000,Australia,Asian,AUD
34,Male,Master's Degree,Back end Developer,8,140000,USA,Hispanic,USD
46,Female,PhD,Senior Project Engineer,16,185000,China,White,CNY
33,Male,Bachelor's Degree,Full Stack Engineer,7,130000,USA,White,USD
30,Male,Master's Degree,Front end Developer,5,105000,China,White,CNY
50,Male,PhD,Software Engineer Manager,20,210000,Australia,Asian,AUD
31,Male,Bachelor's Degree,Back end Developer,6,95000,China,Chinese,CNY
39,Female,Master's Degree,Software Engineer Manager,11,170000,Australia,White,AUD
27,Male,Bachelor's Degree,Front end Developer,2,65000,China,White,CNY
44,Female,PhD,Senior Project Engineer,16,190000,Australia,Australian,AUD
32,Male,Master's Degree,Back end Developer,7,120000,UK,Mixed,GBP
48,Male,PhD,Software Engineer Manager,19,200000,USA,White,USD
30,Female,Bachelor's Degree,Full Stack Engineer,5,100000,UK,White,GBP
34,Male,Master's Degree,Front end Developer,9,150000,USA,Hispanic,USD
37,Female,Bachelor's Degree,Software Engineer Manager,11,170000,Australia,Australian,AUD
26,Male,Bachelor's Degree,Back end Developer,2,65000,UK,White,GBP
49,Female,PhD,Senior Project Engineer,19,210000,USA,Hispanic,USD
29,Male,Bachelor's Degree,Full Stack Engineer,4,90000,Australia,Asian,AUD
41,Male,Master's Degree,Software Engineer Manager,14,180000,UK,Asian,GBP
31,Female,Bachelor's Degree,Front end Developer,6,110000,China,Chinese,CNY
37,Male,Master's Degree,Software Engineer Manager,10,150000,USA,African American,USD
27,Male,Bachelor's Degree,Back end Developer,3,80000,Canada,White,CAD
50,Male,PhD,Senior Project Engineer,18,195000,Canada,Asian,CAD
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,Asian,USD
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,USA,Asian,USD
27,Male,Bachelor's Degree,Front end Developer,2,65000,UK,Asian,GBP
43,Female,PhD,Senior Project Engineer,14,190000,China,Korean,CNY
34,Male,Master's Degree,Back end Developer,8,140000,UK,White,GBP
46,Male,PhD,Software Engineer Manager,16,185000,Australia,White,AUD
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,China,White,CNY
30,Female,Master's Degree,Front end Developer,5,105000,UK,Welsh,GBP
50,Male,PhD,Senior Project Engineer,19,200000,Australia,Australian,AUD
30,Male,Bachelor's Degree,Back end Developer,5,100000,UK,Welsh,GBP
42,Male,Master's Degree,Software Engineer Manager,13,170000,China,White,CNY
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,UK,White,GBP
45,Male,PhD,Senior Project Engineer,16,185000,Australia,Australian,AUD
29,Female,Bachelor's Degree,Front end Developer,4,90000,China,Korean,CNY
39,Female,Master's Degree,Software Engineer Manager,12,160000,Canada,Asian,CAD
27,Male,Bachelor's Degree,Back end Developer,3,80000,Canada,White,CAD
49,Male,PhD,Senior Project Engineer,17,195000,USA,Asian,USD
32,Female,Master's Degree,Full Stack Engineer,6,115000,China,Chinese,CNY
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,UK,Mixed,GBP
27,Male,Bachelor's Degree,Front end Developer,2,65000,UK,White,GBP
43,Female,PhD,Senior Project Engineer,14,190000,UK,Mixed,GBP
34,Male,Master's Degree,Back end Developer,8,140000,UK,Welsh,GBP
46,Male,PhD,Software Engineer Manager,16,185000,USA,Hispanic,USD
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,UK,Mixed,GBP
30,Female,Master's Degree,Front end Developer,5,105000,Canada,Asian,CAD
50,Male,PhD,Senior Project Engineer,19,200000,China,Korean,CNY
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,White,USD
42,Male,Master's Degree,Software Engineer Manager,13,170000,USA,African American,USD
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,Asian,CAD
45,Male,PhD,Senior Project Engineer,16,185000,Australia,Asian,AUD
29,Female,Bachelor's Degree,Front end Developer,4,90000,Canada,White,CAD
39,Female,Master's Degree,Software Engineer Manager,12,160000,China,White,CNY
27,Male,Bachelor's Degree,Back end Developer,3,80000,China,Chinese,CNY
49,Male,PhD,Senior Project Engineer,17,195000,China,White,CNY
32,Female,Master's Degree,Full Stack Engineer,6,115000,China,Korean,CNY
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,China,Chinese,CNY
27,Male,Bachelor's Degree,Front end Developer,2,65000,USA,African American,USD
43,Female,PhD,Senior Project Engineer,14,190000,USA,White,USD
34,Male,Master's Degree,Back end Developer,8,140000,UK,White,GBP
28,Male,Bachelor's Degree,Software Engineer,4,75000,Canada,Asian,CAD
33,Female,Master's Degree,Data Analyst,7,95000,Australia,Australian,AUD
22,Male,Bachelor's Degree,Front End Developer,1,50000,Australia,White,AUD
44,Male,PhD,Senior Data Scientist,15,180000,UK,Welsh,GBP
29,Female,Bachelor's Degree,Software Developer,3,65000,USA,White,USD
31,Male,Master's Degree,Product Manager,6,120000,Canada,White,CAD
25,Female,Master's Degree,Software Engineer,2,60000,UK,White,GBP
38,Male,Bachelor's Degree,Data Scientist,10,150000,USA,African American,USD
27,Male,Bachelor's Degree,Software Engineer,3,70000,Australia,White,AUD
46,Female,PhD,Director of Data Science,20,220000,USA,White,USD
33,Male,Master's Degree,Data Analyst,8,100000,China,Korean,CNY
24,Female,Bachelor's Degree,Software Developer,2,55000,UK,Welsh,GBP
36,Male,PhD,Senior Data Scientist,12,170000,Canada,Asian,CAD
30,Female,Bachelor's Degree,Software Engineer,5,90000,Canada,Asian,CAD
29,Male,Bachelor's Degree,Front End Developer,4,80000,China,White,CNY
42,Male,Master's Degree,Product Manager,14,180000,China,White,CNY
26,Male,Bachelor's Degree,Software Developer,2,60000,UK,Welsh,GBP
35,Female,Master's Degree,Data Analyst,9,120000,USA,Hispanic,USD
27,Female,Bachelor's Degree,Software Engineer,3,70000,China,Korean,CNY
48,Male,PhD,Director of Data Science,18,210000,Australia,Asian,AUD
34,Male,Master's Degree,Data Scientist,9,140000,USA,White,USD
23,Female,Bachelor's Degree,Software Engineer,1,50000,USA,Hispanic,USD
32,Male,Master's Degree,Product Manager,7,110000,Australia,Asian,AUD
25,Female,Master's Degree,Software Engineer,2,60000,Australia,Australian,AUD
37,Male,Bachelor's Degree,Data Analyst,11,160000,China,White,CNY
28,Male,Bachelor's Degree,Software Engineer,4,75000,UK,Mixed,GBP
41,Female,PhD,Director of Data Science,16,200000,USA,Hispanic,USD
34,Male,Master's Degree,Data Analyst,8,100000,Canada,Black,CAD
24,Female,Bachelor's Degree,Software Developer,2,55000,China,Chinese,CNY
36,Male,PhD,Senior Data Scientist,12,170000,China,White,CNY
30,Female,Bachelor's Degree,Software Engineer,5,90000,USA,African American,USD
29,Male,Bachelor's Degree,Front End Developer,4,80000,Canada,White,CAD
42,Male,Master's Degree,Product Manager,14,180000,China,White,CNY
26,Male,Bachelor's Degree,Software Developer,2,60000,USA,White,USD
35,Female,Master's Degree,Data Analyst,9,120000,USA,White,USD
27,Female,Bachelor's Degree,Software Engineer,3,70000,UK,White,GBP
48,Male,PhD,Director of Data Science,18,210000,Canada,Black,CAD
34,Male,Master's Degree,Data Scientist,9,140000,China,Chinese,CNY
23,Female,Bachelor's Degree,Software Engineer,1,50000,USA,White,USD
32,Male,Master's Degree,Product Manager,7,110000,Canada,Asian,CAD
25,Female,Master's Degree,Software Engineer,2,60000,UK,Asian,GBP
37,Male,Bachelor's Degree,Data Analyst,11,160000,China,Korean,CNY
28,Male,Bachelor's Degree,Software Engineer,4,75000,Canada,Asian,CAD
41,Female,PhD,Director of Data Science,16,200000,USA,Hispanic,USD
34,Male,Master's Degree,Data Analyst,8,100000,China,Chinese,CNY
24,Female,Bachelor's Degree,Software Developer,2,55000,Canada,Black,CAD
36,Male,PhD,Senior Data Scientist,12,170000,UK,Asian,GBP
30,Female,Bachelor's Degree,Software Engineer,5,90000,China,Chinese,CNY
29,Male,Bachelor's Degree,Front End Developer,4,80000,Australia,White,AUD
42,Male,Master's Degree,Product Manager,14,180000,USA,White,USD
26,Male,Bachelor's Degree,Software Developer,2,60000,China,Chinese,CNY
35,Female,Master's Degree,Data Analyst,9,120000,Australia,Asian,AUD
27,Female,Bachelor's Degree,Software Engineer,3,70000,UK,White,GBP
48,Male,PhD,Director of Data Science,18,210000,Australia,Asian,AUD
34,Male,Master's Degree,Data Scientist,9,140000,UK,Welsh,GBP
23,Female,Bachelor's Degree,Software Engineer,1,50000,China,White,CNY
32,Male,Master's Degree,Product Manager,7,110000,China,White,CNY
25,Female,Master's Degree,Software Engineer,2,60000,China,Chinese,CNY
37,Male,Bachelor's Degree,Data Analyst,11,160000,USA,African American,USD
28,Male,Bachelor's Degree,Software Engineer,4,75000,USA,Hispanic,USD
41,Female,PhD,Director of Data Science,16,200000,Australia,Asian,AUD
34,Male,Master's Degree,Data Analyst,8,100000,Canada,White,CAD
24,Female,Bachelor's Degree,Software Developer,2,55000,Australia,Asian,AUD
36,Male,PhD,Senior Data Scientist,12,170000,Australia,Australian,AUD
30,Female,Bachelor's Degree,Software Engineer,5,90000,UK,Asian,GBP
29,Male,Bachelor's Degree,Front End Developer,4,80000,UK,Welsh,GBP
42,Male,Master's Degree,Product Manager,14,180000,UK,White,GBP
26,Male,Bachelor's Degree,Software Developer,2,60000,USA,Hispanic,USD
35,Female,Master's Degree,Data Analyst,9,120000,Canada,Asian,CAD
27,Female,Bachelor's Degree,Software Engineer,3,70000,UK,White,GBP
48,Male,PhD,Director of Data Science,18,210000,USA,White,USD
34,Male,Master's Degree,Data Scientist,9,140000,Australia,White,AUD
23,Female,Bachelor's Degree,Software Engineer,1,50000,China,Chinese,CNY
32,Male,Master's Degree,Product Manager,7,110000,Canada,Black,CAD
25,Female,Master's Degree,Software Engineer,2,60000,Australia,White,AUD
37,Male,Bachelor's Degree,Data Analyst,11,160000,Australia,White,AUD
28,Male,Bachelor's Degree,Software Engineer,4,75000,UK,Asian,GBP
41,Female,PhD,Director of Data Science,16,200000,Australia,Asian,AUD
34,Male,Master's Degree,Data Analyst,8,100000,China,Chinese,CNY
24,Female,Bachelor's Degree,Software Developer,2,55000,USA,White,USD
36,Male,PhD,Senior Data Scientist,12,170000,Canada,Asian,CAD
30,Female,Bachelor's Degree,Software Engineer,5,90000,China,Korean,CNY
29,Male,Bachelor's Degree,Front End Developer,4,80000,USA,Asian,USD
42,Male,Master's Degree,Product Manager,14,180000,Australia,Asian,AUD
26,Male,Bachelor's Degree,Software Developer,2,60000,China,Korean,CNY
35,Female,Master's Degree,Data Analyst,9,120000,Canada,Black,CAD
27,Female,Bachelor's Degree,Software Engineer,3,70000,Canada,White,CAD
48,Male,PhD,Director of Data Science,18,210000,China,White,CNY
34,Male,Master's Degree,Data Scientist,9,140000,USA,African American,USD
23,Female,Bachelor's Degree,Software Engineer,1,50000,China,Korean,CNY
32,Male,Master's Degree,Product Manager,7,110000,Australia,Asian,AUD
25,Female,Master's Degree,Software Engineer,2,60000,UK,Asian,GBP
37,Male,Bachelor's Degree,Data Analyst,11,160000,China,White,CNY
28,Male,Bachelor's Degree,Software Engineer,4,75000,UK,Mixed,GBP
41,Female,PhD,Director of Data Science,16,200000,China,Korean,CNY
34,Male,Master's Degree,Data Analyst,8,100000,UK,Asian,GBP
24,Female,Bachelor's Degree,Software Developer,2,55000,USA,Hispanic,USD
36,Male,PhD,Senior Data Scientist,12,170000,UK,Asian,GBP
30,Female,Bachelor's Degree,Software Engineer,5,90000,Australia,Asian,AUD
29,Male,Bachelor's Degree,Front End Developer,4,80000,Canada,Black,CAD
42,Male,Master's Degree,Product Manager,14,180000,UK,Welsh,GBP
26,Male,Bachelor's Degree,Software Developer,2,60000,UK,Mixed,GBP
35,Female,Master's Degree,Data Analyst,9,120000,UK,Mixed,GBP
27,Female,Bachelor's Degree,Software Engineer,3,70000,Canada,Asian,CAD
